ts_code,trade_date,Intraday_part1,Intraday_part2,Intraday_part3,Intraday_part4,Intraday_part5,Overnight_part1,Overnight_part2,Overnight_part3,Overnight_part4,Overnight_part5,z_intra_1,z_intra_5,NEW_Intraday,z_over_1,z_over_5,NEW_Overnight,z_new_intra,z_new_over,NEW_Momentum
000001,201901,-0.0011000015207093539,,,,,0.003963358691866009,,,,,-0.6313423975146152,,,0.4041482599444267,,,0,0,0
000001,201901,-0.0011000015207093539,,,,,,0.0022149073606807235,,,,-0.6313423975146152,,,,,,0,0,0
000001,201901,-0.0011000015207093539,,,,,,,0.0004565038998852744,,,-0.6313423975146152,,,,,,0,0,0
000001,201901,-0.0011000015207093539,,,,,,,,-0.01053446873810937,,-0.6313423975146152,,,,,,0,0,0
000001,201901,-0.0011000015207093539,,,,,,,,,0.0013134652714316963,-0.6313423975146152,,,,0.17400484698071708,,0,0,0
000001,201901,,0.003917498298690397,,,,0.003963358691866009,,,,,,,,0.4041482599444267,,,0,0,0
000001,201901,,0.003917498298690397,,,,,0.0022149073606807235,,,,,,,,,,0,0,0
000001,201901,,0.003917498298690397,,,,,,0.0004565038998852744,,,,,,,,,0,0,0
000001,201901,,0.003917498298690397,,,,,,,-0.01053446873810937,,,,,,,,0,0,0
000001,201901,,0.003917498298690397,,,,,,,,0.0013134652714316963,,,,,0.17400484698071708,,0,0,0
000001,201901,,,0.003091027878724034,,,0.003963358691866009,,,,,,,,0.4041482599444267,,,0,0,0
000001,201901,,,0.003091027878724034,,,,0.0022149073606807235,,,,,,,,,,0,0,0
000001,201901,,,0.003091027878724034,,,,,0.0004565038998852744,,,,,,,,,0,0,0
000001,201901,,,0.003091027878724034,,,,,,-0.01053446873810937,,,,,,,,0,0,0
000001,201901,,,0.003091027878724034,,,,,,,0.0013134652714316963,,,,,0.17400484698071708,,0,0,0
000001,201901,,,,0.0017347512416192035,,0.003963358691866009,,,,,,,,0.4041482599444267,,,0,0,0
000001,201901,,,,0.0017347512416192035,,,0.0022149073606807235,,,,,,,,,,0,0,0
000001,201901,,,,0.0017347512416192035,,,,0.0004565038998852744,,,,,,,,,0,0,0
000001,201901,,,,0.0017347512416192035,,,,,-0.01053446873810937,,,,,,,,0,0,0
000001,201901,,,,0.0017347512416192035,,,,,,0.0013134652714316963,,,,,0.17400484698071708,,0,0,0
000001,201901,,,,,0.0026050171747112882,0.003963358691866009,,,,,,0.8482095845640946,,0.4041482599444267,,,0,0,0
000001,201901,,,,,0.0026050171747112882,,0.0022149073606807235,,,,,0.8482095845640946,,,,,0,0,0
000001,201901,,,,,0.0026050171747112882,,,0.0004565038998852744,,,,0.8482095845640946,,,,,0,0,0
000001,201901,,,,,0.0026050171747112882,,,,-0.01053446873810937,,,0.8482095845640946,,,,,0,0,0
000001,201901,,,,,0.0026050171747112882,,,,,0.0013134652714316963,,0.8482095845640946,,,0.17400484698071708,,0,0,0
000001,201902,-0.0030110675769122464,,,,,0.0015210636731574356,,,,,-1.1108307700715823,,,0.1344533820656892,,,0,0,0
000001,201902,-0.0030110675769122464,,,,,,-0.011215935110126224,,,,-1.1108307700715823,,,,,,0,0,0
000001,201902,-0.0030110675769122464,,,,,,,-0.005403331555099117,,,-1.1108307700715823,,,,,,0,0,0
000001,201902,-0.0030110675769122464,,,,,,,,-0.002660242972536697,,-1.1108307700715823,,,,,,0,0,0
000001,201902,-0.0030110675769122464,,,,,,,,,-0.008930640572683973,-1.1108307700715823,,,,-0.673992178866816,,0,0,0
000001,201902,,-0.00023789229124238087,,,,0.0015210636731574356,,,,,,,,0.1344533820656892,,,0,0,0
000001,201902,,-0.00023789229124238087,,,,,-0.011215935110126224,,,,,,,,,,0,0,0
000001,201902,,-0.00023789229124238087,,,,,,-0.005403331555099117,,,,,,,,,0,0,0
000001,201902,,-0.00023789229124238087,,,,,,,-0.002660242972536697,,,,,,,,0,0,0
000001,201902,,-0.00023789229124238087,,,,,,,,-0.008930640572683973,,,,,-0.673992178866816,,0,0,0
000001,201902,,,0.0035139481839444597,,,0.0015210636731574356,,,,,,,,0.1344533820656892,,,0,0,0
000001,201902,,,0.0035139481839444597,,,,-0.011215935110126224,,,,,,,,,,0,0,0
000001,201902,,,0.0035139481839444597,,,,,-0.005403331555099117,,,,,,,,,0,0,0
000001,201902,,,0.0035139481839444597,,,,,,-0.002660242972536697,,,,,,,,0,0,0
000001,201902,,,0.0035139481839444597,,,,,,,-0.008930640572683973,,,,,-0.673992178866816,,0,0,0
000001,201902,,,,0.002826103348406467,,0.0015210636731574356,,,,,,,,0.1344533820656892,,,0,0,0
000001,201902,,,,0.002826103348406467,,,-0.011215935110126224,,,,,,,,,,0,0,0
000001,201902,,,,0.002826103348406467,,,,-0.005403331555099117,,,,,,,,,0,0,0
000001,201902,,,,0.002826103348406467,,,,,-0.002660242972536697,,,,,,,,0,0,0
000001,201902,,,,0.002826103348406467,,,,,,-0.008930640572683973,,,,,-0.673992178866816,,0,0,0
000001,201902,,,,,0.001954835129518717,0.0015210636731574356,,,,,,0.5368678253663332,,0.1344533820656892,,,0,0,0
